,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,15134.5164878481,14309.793069862,13751.7998965507,14255.7443792497,13344.5113477086,13302.7735655466,11315.3586309418,10943.5729444367,11255.2559179079,10927.1013559774,10384.7199517035,10981.1569969078,14976.5235086454,14677.1891087897,14123.6300748683,15717.7041353374,15250.1197067573,14444.8426085529,14101.5356827513,14121.4939703256,13732.0643302795,14098.3062005038,15148.7503367385,13634.4980503594,15583.7449269675,15627.1545630098,15325.7212207667,15881.0876678998,15587.5531041863,16142.9172242308,15560.3212517036,14334.1692134194,15075.5766989205,14556.7666482818,14874.6302962946,14181.135079195,12473.6011957114,12193.2179752307,12892.146664009,12564.599231816,12730.9377820809,12849.3086916475,14659.0329935647,14655.3153579349,13695.5365774626,13717.5572899944,15029.5095833111,15686.8364595594,12991.5578745275,13051.4706356086,13029.9753944462,13292.1834451018,11822.7543892914,13825.8722008504,13795.1950400848,14131.091770524,13704.8632250967,13331.5301507285,13390.3362367199,13746.8189288753,12449.6963037038,12760.7897756381,12150.7563736899,12736.4282282513,13106.9747948238,13223.5303602001,14875.5082633853,15060.4307031525,14687.2032876854,14312.599634598,15184.9307740726,15915.7160814837,16599.6490121434,16603.6439827357,17556.2390769208,16657.1339475314,16654.1673105733,17036.7650334731,14294.2281825264,17039.4696320956,15678.6190641341,15762.1628980479,15394.6075383495,16850.4874786647,13818.6011216185,14289.2117140155,14213.2231351054,15912.450887745,14017.3399022136,14889.6219163606,17892.6407910906,14948.8717179168,17556.4527321862,15506.004372803,17107.6344305617,16660.2694891823
,65.5,14919.5948725066,14177.8520444233,13634.1597330128,14145.5476450199,13227.0180472638,13199.8329303289,11209.7644027837,10856.7752306771,11156.677332863,10830.998922144,10295.0954865955,10873.6080863636,14843.8054614297,14558.7494384037,14014.0162260999,15612.4981210838,15145.1075689787,14344.3965634429,13982.3519652842,14021.7135962747,13640.6647238956,13992.4259496655,15013.7769690092,13522.3552521108,15437.9219670533,15499.1566301833,15203.2545612938,15775.1965651659,15475.6887826467,16027.7041922718,15436.0172399899,14227.6764266773,14973.5239602708,14442.6168812193,14761.6296794691,14062.5711904648,12343.5018425683,12069.6937069996,12774.6539127163,12464.4104555906,12619.3056569796,12739.1563500203,14540.876512473,14538.1748933987,13595.1045912208,13614.3016210692,14908.5211707869,15541.4386216766,12858.1142162901,12921.8972864216,12922.8809601027,13178.9217192249,11728.1176207252,13711.8179406143,13664.634450617,14016.3313873644,13591.7539843184,13234.4628352338,13284.728628138,13628.209394767,12327.7830026273,12635.4939610692,12046.9918906426,12626.3811191924,12995.7149948719,13102.1811033848,14753.9985562948,14934.1290130185,14573.4945015324,14203.8283627238,15073.5330517953,15763.4440175559,16468.3272867885,16472.5140397999,17440.3144571672,16543.8023349068,16536.9121947712,16910.7019294697,14220.78159325,16905.9964202482,15582.6461732075,15658.5600895347,15290.2445418298,16695.1701245613,13704.8977501399,14171.0270252238,14097.5566326675,15765.5694991094,13901.3350472728,14767.1825549086,17749.1475736998,14858.4461407093,17426.2462298872,15410.517763584,16965.7511930415,16518.2111179462
,66,14704.6732571652,14045.9110189846,13516.5195694749,14035.3509107901,13109.524746819,13096.8922951112,11104.1701746257,10769.9775169175,11058.098747818,10734.8964883107,10205.4710214875,10766.0591758195,14711.087414214,14440.3097680177,13904.4023773314,15507.2921068301,15040.0954312002,14243.950518333,13863.1682478171,13921.9332222237,13549.2651175116,13886.5456988273,14878.8036012799,13410.2124538621,15292.0990071391,15371.1586973568,15080.7879018209,15669.305462432,15363.824461107,15912.4911603129,15311.7132282762,14121.1836399351,14871.4712216211,14328.4671141567,14648.6290626436,13944.0073017346,12213.4024894251,11946.1694387685,12657.1611614235,12364.2216793652,12507.6735318783,12629.0040083931,14422.7200313813,14421.0344288625,13494.6726049789,13511.0459521439,14787.5327582627,15396.0407837937,12724.6705580528,12792.3239372345,12815.7865257593,13065.659993348,11633.4808521591,13597.7636803782,13534.0738611492,13901.5710042048,13478.6447435401,13137.3955197391,13179.121019556,13509.5998606588,12205.8697015507,12510.1981465002,11943.2274075953,12516.3340101335,12884.4551949199,12980.8318465696,14632.4888492044,14807.8273228845,14459.7857153795,14095.0570908496,14962.1353295179,15611.1719536282,16337.0055614335,16341.3840968642,17324.3898374136,16430.4707222823,16419.6570789692,16784.6388254664,14147.3350039736,16772.5232084007,15486.6732822809,15554.9572810215,15185.8815453102,16539.8527704579,13591.1943786613,14052.8423364321,13981.8901302296,15618.6881104737,13785.3301923321,14644.7431934566,17605.6543563089,14768.0205635018,17296.0397275883,15315.0311543651,16823.8679555212,16376.1527467102
,66.5,14489.7516418237,13913.9699935459,13398.879405937,13925.1541765602,12992.0314463742,12993.9516598934,10998.5759464676,10683.1798031579,10959.520162773,10638.7940544774,10115.8465563794,10658.5102652754,14578.3693669984,14321.8700976316,13794.788528563,15402.0860925764,14935.0832934216,14143.504473223,13743.9845303501,13822.1528481728,13457.8655111277,13780.665447989,14743.8302335506,13298.0696556135,15146.2760472249,15243.1607645303,14958.321242348,15563.4143596981,15251.9601395674,15797.2781283539,15187.4092165626,14014.690853193,14769.4184829715,14214.3173470942,14535.6284458181,13825.4434130044,12083.303136282,11822.6451705373,12539.6684101307,12264.0329031398,12396.041406777,12518.851666766,14304.5635502896,14303.8939643263,13394.2406187371,13407.7902832187,14666.5443457385,15250.6429459109,12591.2268998155,12662.7505880475,12708.6920914159,12952.3982674711,11538.844083593,13483.7094201421,13403.5132716814,13786.8106210452,13365.5355027618,13040.3282042444,13073.5134109741,13390.9903265505,12083.9564004742,12384.9023319313,11839.4629245481,12406.2869010746,12773.195394968,12859.4825897543,14510.9791421139,14681.5256327505,14346.0769292265,13986.2858189753,14850.7376072405,15458.8998897004,16205.6838360786,16210.2541539284,17208.4652176599,16317.1391096577,16302.4019631671,16658.5757214631,14073.8884146972,16639.0499965533,15390.7003913543,15451.3544725083,15081.5185487905,16384.5354163545,13477.4910071826,13934.6576476404,13866.2236277917,15471.8067218381,13669.3253373914,14522.3038320046,17462.1611389181,14677.5949862943,17165.8332252893,15219.5445451461,16681.984718001,16234.0943754741
,67,14274.8300264823,13782.0289681072,13281.2392423991,13814.9574423304,12874.5381459295,12891.0110246757,10892.9817183095,10596.3820893982,10860.941577728,10542.691620644,10026.2220912714,10550.9613547312,14445.6513197827,14203.4304272456,13685.1746797946,15296.8800783227,14830.0711556431,14043.0584281131,13624.800812883,13722.3724741219,13366.4659047437,13674.7851971507,14608.8568658214,13185.9268573648,15000.4530873107,15115.1628317037,14835.854582875,15457.5232569642,15140.0958180277,15682.065096395,15063.1052048489,13908.1980664508,14667.3657443218,14100.1675800316,14422.6278289927,13706.8795242742,11953.2037831388,11699.1209023062,12422.175658838,12163.8441269144,12284.4092816757,12408.6993251388,14186.4070691978,14186.7534997902,13293.8086324953,13304.5346142935,14545.5559332143,15105.2451080281,12457.7832415782,12533.1772388604,12601.5976570725,12839.1365415942,11444.2073150268,13369.655159906,13272.9526822136,13672.0502378856,13252.4262619836,12943.2608887498,12967.9058023922,13272.3807924423,11962.0430993976,12259.6065173623,11735.6984415008,12296.2397920157,12661.9355950161,12738.1333329391,14389.4694350235,14555.2239426165,14232.3681430735,13877.5145471011,14739.3398849631,15306.6278257726,16074.3621107236,16079.1242109927,17092.5405979063,16203.8074970331,16185.1468473651,16532.5126174597,14000.4418254207,16505.5767847058,15294.7275004277,15347.7516639951,14977.1555522708,16229.2180622511,13363.787635704,13816.4729588487,13750.5571253538,15324.9253332024,13553.3204824506,14399.8644705526,17318.6679215273,14587.1694090868,17035.6267229904,15124.0579359272,16540.1014804807,16092.036004238
,67.5,14059.9084111408,13650.0879426684,13163.5990788611,13704.7607081006,12757.0448454845,12788.0703894578,10787.3874901512,10509.5843756388,10762.3629926829,10446.5891868107,9936.59762616326,10443.412444187,14312.933272567,14084.9907568595,13575.5608310262,15191.674064069,14725.0590178647,13942.6123830032,13505.6170954159,13622.5921000709,13275.0662983597,13568.9049463124,14473.8834980921,13073.7840591162,14854.6301273965,14987.1648988773,14713.3879234021,15351.6321542304,15028.231496488,15566.8520644363,14938.8011931352,13801.7052797087,14565.3130056719,13986.017812969,14309.6272121671,13588.3156355439,11823.1044299957,11575.5966340751,12304.6829075452,12063.655350689,12172.7771565744,12298.5469835116,14068.2505881061,14069.6130352539,13193.3766462535,13201.2789453684,14424.5675206902,14959.8472701454,12324.339583341,12403.6038896734,12494.5032227289,12725.8748157171,11349.5705464607,13255.6008996699,13142.3920927456,13557.289854726,13139.3170212052,12846.1935732549,12862.2981938102,13153.7712583342,11840.1297983211,12134.3107027934,11631.9339584534,12186.1926829569,12550.6757950641,12616.7840761238,14267.9597279331,14428.9222524826,14118.6593569205,13768.7432752269,14627.9421626857,15154.3557618448,15943.0403853691,15947.9942680568,16976.6159781528,16090.4758844084,16067.8917315627,16406.4495134565,13926.9952361442,16372.1035728589,15198.7546095011,15244.1488554817,14872.7925557511,16073.9007081481,13250.0842642253,13698.2882700571,13634.890622916,15178.0439445668,13437.31562751,14277.4251091005,17175.1747041366,14496.7438318793,16905.4202206916,15028.5713267082,16398.2182429603,15949.9776330021
,68,13844.9867957993,13518.1469172297,13045.9589153232,13594.5639738708,12639.5515450397,12685.1297542401,10681.7932619932,10422.7866618792,10663.7844076379,10350.4867529774,9846.97316105523,10335.8635336429,14180.2152253513,13966.5510864734,13465.9469822578,15086.4680498153,14620.0468800862,13842.1663378932,13386.4333779488,13522.8117260199,13183.6666919758,13463.0246954741,14338.9101303628,12961.6412608675,14708.8071674823,14859.1669660507,14590.9212639292,15245.7410514965,14916.3671749484,15451.6390324774,14814.4971814215,13695.2124929665,14463.2602670222,13871.8680459065,14196.6265953417,13469.7517468137,11693.0050768525,11452.072365844,12187.1901562524,11963.4665744636,12061.1450314731,12188.3946418845,13950.0941070144,13952.4725707177,13092.9446600116,13098.0232764432,14303.5791081661,14814.4494322626,12190.8959251037,12274.0305404863,12387.4087883854,12612.6130898402,11254.9337778945,13141.5466394337,13011.8315032778,13442.5294715664,13026.2077804269,12749.1262577602,12756.6905852283,13035.161724226,11718.2164972446,12009.0148882245,11528.1694754062,12076.145573898,12439.4159951121,12495.4348193086,14146.4500208427,14302.6205623486,14004.9505707675,13659.9720033527,14516.5444404083,15002.083697917,15811.7186600141,15816.8643251211,16860.6913583992,15977.1442717838,15950.6366157607,16280.3864094531,13853.5486468678,16238.6303610114,15102.7817185745,15140.5460469685,14768.4295592314,15918.5833540446,13136.3808927467,13580.1035812654,13519.2241204781,15031.1625559311,13321.3107725692,14154.9857476485,17031.6814867457,14406.3182546718,16775.2137183927,14933.0847174892,16256.3350054401,15807.919261766
,68.5,13625.0764089467,13375.8310866337,12916.1274583629,13471.2446968885,12511.0178592493,12574.3501018937,10565.8733680753,10324.7405260176,10554.2055984356,10245.0619822926,9748.87678049985,10215.7980991115,14032.8385149808,13835.878809876,13348.8496061162,14967.8613033921,14500.8058051563,13733.6037341149,13254.1661378334,13414.8748885855,13088.3861571743,13346.7818908532,14188.4636784897,12834.4029760357,14553.5629699055,14719.5800167692,14455.2003242286,15127.6548213084,14792.4728747905,15326.2660905301,14677.4386181696,13578.9025914246,14346.5115474918,13748.572904087,14069.0373654149,13338.2048533054,11556.662533034,11321.9241153503,12062.0346863958,11853.8827993686,11940.2818862885,12069.1578286294,13822.445188409,13827.6033858038,12987.1797892409,12984.0986347175,14168.9126622389,14655.206790632,12049.5323267961,12137.8115849622,12271.0843063192,12488.9951199679,11151.8054259222,13016.8647967275,12870.4737665956,13317.9826828637,12901.3477885872,12638.9474190585,12637.9963732444,12900.8675626931,11587.6947682094,11875.5840683907,11416.2327939364,11958.0605166295,12319.0696863887,12365.7403233756,14014.0088480529,14167.8698929026,13879.7708820399,13539.4854310688,14390.4096972193,14835.9147947277,15666.221551196,15674.0765079993,16729.2396351973,15851.5772894241,15820.5625933863,16140.1485802849,13771.4174095948,16090.6939537132,14995.3818557012,15021.2791238838,14648.2978427072,15747.8447688361,13011.2431049411,13453.1111350587,13395.2926052588,14868.4746515077,13194.2626237786,14021.4008478169,16869.5406430707,14305.7745804384,16626.1016711682,14818.4252718105,16099.0780933354,15651.1633626813
,69,13400.6977776814,13221.5344324099,12773.2248499707,13331.6858959445,12370.3090463447,12451.7846763872,10438.944799266,10213.0542273405,10432.9485579285,10127.3244437717,9640.72963285572,10083.9216705003,13870.6850787354,13692.6867145927,13220.7061132964,14831.9887908062,14365.242171269,13611.4968788799,13108.1420192961,13295.3441091287,12983.5779067474,13216.058529123,14022.3449679131,12691.0591419665,14388.9446197776,14566.7038094361,14304.0047196989,14993.843377075,14653.7562939537,15186.2833229308,14526.6737298624,13449.8054844918,14212.1000577118,13612.2104566635,13925.6382006684,13192.692062351,11413.0821095969,11184.2754217,11926.3242096165,11731.5943337593,11808.4378724897,11937.5025286636,13681.9438852209,13691.9330792612,12871.7262306438,12855.1809690363,14017.3011712943,14480.7179762009,11900.3512809719,11993.7226566468,12143.0469739557,12352.8548134341,11037.2045186805,12879.2855301898,12717.2436408017,13179.8881797232,12762.1229489087,12512.1627485308,12504.8548078711,12751.5663655695,11448.731454581,11732.4100861751,11294.5001365574,11829.324828187,12186.882814471,12224.7555688085,13867.506729623,14020.9488208956,13738.6745161357,13402.9974270612,14245.2487495882,14655.2927053014,15504.8085195621,15517.232066644,16580.4495828467,15708.7910086987,15675.0659255143,15981.7231132123,13676.9247719662,15924.4038231346,14871.8279630695,14882.1456622529,14509.5117829166,15561.529345336,12873.0480346018,13314.152288521,13260.4849973157,14688.7669398624,13052.7393884558,13873.1220934159,16685.4640025691,14190.438007723,16453.537179573,14682.2146059247,15923.316980086,15478.9999048634
,69.5,13172.9767117472,13056.1950365183,12617.6756026015,13174.7412965898,12216.2495081415,12315.0728093422,10301.2787976135,10088.1899314762,10300.5760943009,9995.93003597205,9522.52767594363,9942.43706171452,13694.5684640024,13536.6648054557,13079.0972173693,14677.633643339,14211.6397724948,13473.3377341268,12948.2814217949,13161.2404679223,12865.37830701,13068.5347766128,13842.9254278434,12532.267557043,14214.2006433382,14398.471456232,14135.737375092,14840.9381383529,14497.0390441096,15027.2750035762,14359.5911837957,13305.751060774,14059.5399030377,13459.2295283786,13767.3210459476,13033.9893883753,11261.8699507963,11039.3506913747,11778.4816390036,11594.7717369249,11663.1675914847,11792.0306422411,13525.7012116628,13543.1952983579,12744.1792155886,12708.8533696929,13847.2573273274,14292.4572127863,11743.7162478878,11841.4602635281,12001.8348198175,12203.2318286193,10908.9221008883,12726.7102132922,12550.3747154913,13027.4058578317,12608.06391814,12365.684255261,12357.4231319245,12589.0339225918,11301.5362524739,11579.9395645664,11159.7603586488,11688.4519923531,12041.2300218482,12071.1091318771,13705.255317426,13858.9148073162,13579.2594200251,13247.4780496707,14078.6412254509,14461.2749785711,15327.2207933832,15344.6590489526,16409.3499213425,15545.6621432575,15511.50853012,15803.3752412266,13566.4228605769,15737.9895030651,14728.773851162,14720.5404129237,14351.2666273794,15360.9092019346,12722.3546742616,13161.9666839297,13112.5204014331,14492.0226163708,12896.2320406451,13708.1679360742,16478.6259973243,14058.4659511873,16257.0073814005,14524.7867957614,15728.860889028,15292.9997942789
,70,12944.3709053634,12879.3221796391,12449.7150840725,13001.4268933705,12049.5850703073,12162.9297799197,10153.3228950698,9950.70384516708,10157.78842118,9851.90489579078,9394.45511958458,9793.61270277851,13506.5398337953,13367.8824405667,12922.3159990348,14503.1412517243,14040.238906831,13317.1191814411,12775.939287548,13010.0098797868,12730.8223619351,12903.7630815298,13650.1569171361,12360.3381706179,14030.0128822607,14213.8016546711,13952.4303955647,14668.1559741512,14321.6596184513,14847.8400812045,14175.8913609514,13146.2910320208,13888.0690091186,13287.9851852882,13594.2747032157,12862.1565295375,11103.6402535785,10886.6913077397,11617.5540753573,11442.5416217926,11503.6970469967,11632.6469045587,13353.0975305898,13378.785670412,12601.8793500727,12544.5118177472,13659.0778752058,14091.483200886,11579.2616898346,11680.2795236859,11846.2648542662,12040.0723635317,10766.5356395105,12559.1438381299,12370.1375904027,12859.4336086903,12437.6451826439,12200.7884604557,12196.8114660273,12415.528208561,11146.2529230113,11417.4140196325,11011.504643531,11534.1795429741,11882.014366215,11904.7652038002,13527.4490220756,13680.5710828257,13400.7115717111,13073.3102067675,13891.9207544917,14254.6894207175,15134.2899444748,15156.0147864141,16214.4910673655,15361.6184635815,15328.567251252,15605.5527645104,13437.6780403891,15531.5129861113,14565.0193374802,14537.958385071,14174.7338345436,15147.5203904759,12559.7222448591,12995.2991417498,12949.4903330979,14280.1814105862,12725.4489249572,13526.2706249522,16251.507635153,13908.0645906717,16038.948677314,14349.1561981225,15517.8526355044,15094.8818614182
,70.5,12718.3190905462,12692.6521306272,12271.6192063987,12814.1384862291,11871.296411153,11995.0765543945,9997.29524252289,9803.2182751917,10007.1670140644,9697.97554551602,9258.77784365397,9640.44587849503,13309.0934393536,13188.0558198776,12751.1318243738,14311.2566703226,13854.3752452667,13144.9007038467,12593.0663867935,12842.5369206313,12578.3981568757,12723.9031681451,13448.4009213533,12180.0482677651,13837.5574932756,14014.0577650463,13757.3626324557,14477.2781030708,14128.8117430908,14649.2612520697,13977.7304722744,12972.6309420564,13702.061537399,13099.4262315293,13410.3407356569,12680.4786637674,10939.6832457258,10726.9270297727,11444.6949765982,11277.7054647117,11333.0593379688,11461.2952285936,13165.8432595001,13199.6909208174,12444.4180565798,12365.6689136321,13455.4007015849,13880.2366563,11408.3226988643,11510.9500352931,11677.4063443431,11866.222592884,10612.1681313909,12378.4273743307,12179.876917327,12677.399342469,12253.7078647609,12021.5674060952,12025.7557608433,12234.2176547313,10985.0863820517,11246.354307928,10851.9724958219,11368.6786478339,11710.1624963652,11726.8908923534,13336.2334676728,13486.7345889957,13205.3301217538,12884.0659575036,13689.63880782,14040.3647304293,14929.2651557421,14952.3514306166,15999.6524418813,15159.2711522845,15129.1779353198,15392.0143134062,13291.9359164461,15308.0111874759,14381.9139211849,14337.7971719541,13983.8389307963,14925.2749719121,12388.6179099687,12816.1527185151,12772.3441673973,14058.9244757343,12544.5187111707,13330.759315641,16010.4767421084,13741.3254021468,15805.9638205132,14159.9809111699,15294.8035874251,14887.8445735335
,71,12495.0733783738,12496.2683695654,12085.0251516789,12616.0462902419,11683.7875397547,11814.8387565555,9836.54513908817,9650.05048273791,9849.94900925078,9537.61300528382,9116.80890108389,9484.75704001417,13106.4780540875,12999.5295629786,12567.1096831703,14103.8789956648,13658.0289102992,12959.4327424529,12403.0635861655,12661.8583826323,12409.1175192606,12533.4608127542,13239.6042336301,11994.2810957028,13637.8844542711,13801.1495593227,13550.7787199194,14271.6570337132,13921.7149000601,14434.8650859664,13768.0534984746,12786.8366530103,13502.8645302822,12897.1355357127,13216.3895954222,12490.7794286685,10770.6657826855,10561.0375368568,11262.2928175568,11103.9233877577,11153.5059881425,11280.2714244782,12966.5274512206,13007.3355056247,12272.9562499801,12174.3785245701,13238.8537626407,13661.965451819,11232.9855756622,11333.4598521549,11498.5249435453,11684.2136065273,10449.0279697635,12187.3336242862,11981.2263187759,12484.9788701761,12057.8737682495,11831.8550778212,11846.575463852,12046.9442814757,10820.2866778004,11068.7070922264,10684.086317283,11194.5654335208,11529.4639968241,11540.3391305965,13135.0991051401,13280.2168682939,12996.5820931212,12684.3640818291,13477.1279036589,13822.1091678736,14715.433583708,14736.7728430923,15770.4251985464,14943.6524129767,14917.2692768342,15166.2904443339,13131.8055491667,15072.342220231,14183.4438988852,14127.1219890157,13783.0916846804,14698.4209229673,12211.9900387935,12627.536200043,12584.248571754,13834.5663209939,12355.9832385527,13125.3393217558,15763.2462077988,13562.0688585247,15565.328905498,13964.8614814162,15064.3788012996,14675.5639573222
,71.5,12275.4102293071,12294.4080843636,11893.8860210789,12411.9794761206,11490.632551567,11627.2691393098,9673.5718475579,9494.58182314822,9688.58980131687,9374.6185429673,8971.50764515805,9328.86098949026,12902.0050175734,12804.7244836396,12374.6910963279,13886.0577318386,13457.0175924924,12766.4568594966,12209.6104343142,12472.8981401352,12227.9076928984,12337.7508565266,13027.276375311,11806.0309064925,13433.5463929014,13578.7306114673,13336.3058207126,14055.3555198563,13705.3674147967,14209.669221801,13549.3717206742,12593.3779228114,13295.1025598386,12686.2643630986,13016.1626269698,12296.6645449779,10599.589888697,10391.3411461875,11074.1002908312,10925.3534172208,10968.7340030168,11094.3469864608,12760.0128781756,12805.8385972327,12091.2704270966,11976.4243660111,13016.1665926795,13442.3781220846,11055.3517316556,11149.9328393565,11314.4899009069,11497.19617143,10280.7182641108,11989.4783824514,11776.8221967831,12287.1955127767,11854.9736550805,11637.9790476412,11663.0196423983,11857.407989989,10653.4235805538,10887.7547473882,10511.1121200682,11015.7833690371,11343.7881501858,11348.8661736645,12929.0213716371,13066.3149186104,12781.6975264464,12480.4795278076,13260.8049496025,13603.1966060004,14497.7547772084,14514.4938363265,15531.3249831354,14721.5990624933,14696.7050737563,14933.5414283314,12960.7057092627,14831.3480971303,13975.6869432931,13912.1345086126,13578.5039862681,14470.8540913406,12032.8515963383,12434.418447459,12389.3221783061,13610.8085227169,12164.6958998643,12915.6929346866,15516.0365091297,13375.3483932056,15323.5405470508,13767.488253856,14831.8461640552,14461.9402640749
,72,12060.679023184,12090.0832343356,11701.3236294315,12207.0592082303,11296.9606381094,11437.2637170896,9511.03762832422,9339.8042841756,9526.80229777893,9212.47601747543,8826.59018899687,9174.9399331348,12698.4529428594,12607.3246885267,12179.4180597696,13663.8509757175,13256.195523817,12570.7379384553,12016.7416422044,12281.2006855092,12040.986689275,12141.4403284071,12814.5752941759,11619.0707519793,13228.0946982184,13353.1916164033,13120.5251782811,13834.2782830877,13486.5785911129,13981.6063596187,13327.750768317,12397.0551977379,13083.5859698188,12472.9491155924,12813.9173314727,12102.4143404299,10429.0152620144,10219.892841041,10884.5760071881,10746.9626173172,10784.1828871973,10908.0954945784,12552.1395840437,12599.4699047484,11903.6603222773,11777.2835410331,12792.8855975841,13225.1158135783,10877.3096473064,10963.7076963915,11129.7378502773,11308.984682754,10112.5630238324,11789.72714611,11571.2980937116,12087.8611473808,11649.3215275554,11445.0780981413,11478.4920856675,11668.3306980469,10486.5044440554,10705.7943855339,10338.6576754791,10836.2251749861,11157.6582126301,11155.8818775503,12723.2438531286,12851.1690040777,12565.8678828728,12278.0502419113,13045.8353278118,13386.0731631804,14279.4741480805,14290.4289276746,15289.8452346956,14498.7692883998,14473.3775502626,14700.1828857667,12784.3566741459,14590.7695507413,13764.5680709972,13698.7988041955,13374.2267269456,14244.8256924258,11853.3414404823,12240.2938650546,12191.3770292117,13390.7758015041,11973.6498867371,12706.777035264,15272.8198277567,13185.8821098138,15084.519334832,13571.2583927378,14600.5561522371,14248.8245496115
